local_uri,alt_text
images/e6011ab5c271d61735bfecdeb4e27bdce7a061e6_Image_001.jpg,"Friends Graph represented using GSK. Each line below lists the name of a node, its number of edges, and nodes to which it is joined.

Amy	4	Oscar	Pat	Neal	Harry			
Bob	2	Dan	Charlie					
Charlie	1	Bob						
Dan	4	Bob	Fred	Kate	Neal			
Emma	1	Neal						
Fred	4	Dan	Kate	Ike	Neal			
George	3	Mark	Pat	Harry				
Harry	5	Amy	George	Jon	Pat	Neal		
Ike	4	Fred	Kate	Pat	Neal			
Jon	1	Harry						
Kate	5	Dan	Fred	Mark	Lou	Ike		
Lou	1	Kate						
Mark	2	George	Kate					
Neal	7	Amy	Dan	Fred	Ike	Pat	Emma	Harry
Oscar	1	Amy						
Pat	5	Amy	Neal	Harry	George	Ike"
images/ee93a76437d7ba475c58b043c050fd78b77e7370_Image_001.jpg,Cumulative distribution function (blue) and histogram (N = number of participants within bin) for match making ranking (MMR).
images/3b7898e31176cfe6b7e2b6309e2f18c63103baa9_Image_005.jpg,"This figure presents a collum chart with the average WPM for each method. QWERTY ist the fastest followed by MultiTap, NavTouch and BrailleTouch."
images/3b7898e31176cfe6b7e2b6309e2f18c63103baa9_Image_006.jpg,"This figure presents a collum chart with the MSD Error Rate for each method. MultiTap has the largest MSD Error Rate, followed by QWERTY, NavTouch and BrailleTouch. the method with thefastest followed by MultiTap, NavTouch and BrailleTouch."
images/3b7898e31176cfe6b7e2b6309e2f18c63103baa9_Image_007.jpg,"This figure presents a line chart with the average WPM for each method, for three age of onset groups (<=5, 6-20 and >=21). The early blind group was slower in every method. THe group with an age of onset between 6 and 20 is the fastest. These differeces in performance are more pronounced in QWERTY and MultiTap than with NavTouch and BrailleTouch."
images/3b7898e31176cfe6b7e2b6309e2f18c63103baa9_Image_008.jpg,"This figure presents a line chart with the average WPM for each method, for two pressure sensitivity groups (<=3.61 and 3.62-4.31). The difference in performance of the two groups is considerable for QWERTY and MultiTap, especially for MultiTap, with the users with better sensitivity being much faster."
images/3b7898e31176cfe6b7e2b6309e2f18c63103baa9_Image_009.jpg,"This figure presents a line chart with the average WPM for each method, for three spatial ability groups (<=4.75, 4.76-7.0 and >=7.01). The difference in performance of the group with the best spatial ability and the other two is big for QWERTY and MultiTap. Performance in NavTouch and BrailleTouch is similar among groups."
images/b0abced402bd11a7b43f42e4fd443c9150b4a9b0_Image_007.jpg,"This figure shows a U.S. map where counties are marked using black separator lines. The U.S. counties filled with red color are those with at least one edit from the women power editors in our sample in the no-bots dataset. A prominent ""No Female Edits Belt"" (in white color) is visible running from the Northern Mountain West down through the Great Plains, Midwest, and Appalachians (note: these counties may be edited by non-power-editors or unidentified female editors)."
images/5fe63a4c521dd10ca9ec9b4e7dc07f6194c564cc_Image_002.png,Figure 1a: A stenograph keyboard that shows its phonetic-based keys.  Figure 1b: A graph of a stenographer's typical Words Per Minute (WPM) limit and range.
images/5fe63a4c521dd10ca9ec9b4e7dc07f6194c564cc_Image_008.png,"Figure 5: A graph of the latencies for each transcript (professional, automatic and crowd). Professional and crowd captions have latencies under 5 seconds which allows students to keep up with the lecture."
images/85bf475fb8a40de8ace3cd67c4fa963daa890fcb_Image_014.jpg,An overview of the average Task Completion Time to assemble the Lego Duplo construction using the different error feedback modalities and the average number of errors that were made using the different error feedback modalities for both assembly errors and picking errors. The error bars depict the standard error.
images/85bf475fb8a40de8ace3cd67c4fa963daa890fcb_Image_015.jpg,An overview of the average Task Completion Time to assemble the Lego Duplo construction using the different error feedback modalities and the average number of errors that were made using the different error feedback modalities for both assembly errors and picking errors. The error bars depict the standard error.
images/29ce15f6520d7427cf1c0cce62e49fca0f40c19d_Image_001.jpg,Screenshot of the mechanical turk interface.  See caption for the information collected
